name,address,phone,hours
Araz Azadlıq,"Binəqədi rayon, 8 mkr, İbrahimpaşa Dadaşov küçəsi 91",055-515-85-01,08:00 - 23:00
Araz Günəşli-7,"Suraxanı ray., Yeni Günəşli qəs, Baku",924,08:00 - 23:00
Araz Günəşli-8,"128 İnqilab İsmayılov, Baku",924,08:00 - 23:00
Araz Əhmədli-10,"Bakı ş.,Xətai r-nu, Məhəmməd Hadi ev. 2337-ci məhəllə",924,08:00 - 23:00
Araz Xətai-4,Bakı şəh. Xətai ray.Xəqani Rüstəmov ev 21m,924,08:00 - 23:00
Araz Qaraçuxur,"Suraxanı rayonu, A.Alicanov küçəsi 17",055-515-85-02,07:30 - 23:00
Araz Neftçilər,"Nizami rayonu, Şərifli küçəsi 25",055-515-85-03,24\7
Araz Olimpik Supermarket,"Nəsimi rayonu, Mərdanov qardaşları 137",055-515-85-04,24\7
Araz Elmlər,"Yasamal rayonu, Şəhriyar küçəsi, 6 nömrəli binanın 1-ci mərtəbəsi",055-515-85-05,07:00 - 23:00
Araz Xırdalan-1,"Xırdalan şəhəri, Mehdi Hüseynzadə küçəsi",055-515-85-07,07:00  - 00:00
Araz Xəzər-1,"Xətai rayonu, Əhmədli qəsəbəsi, Gəncə prospekti",055-515-85-08,07:00 - 23:00
Araz Buzovna-1,"Xəzər rayonu, Buzovna qəsəbəsi, Heydər Eyvazov küçəsi 47",055-515-85-11,07:00 - 02:00
Araz Binə-1,"Xəzər rayonu, Binə qəsəbəsi,  Ə.İsazadə küçəsi 5",055-515-85-13,07:00 - 23:00
Araz Günəşli-1,"Suraxani rayonu, Yeni Günəşli qəsəbəsi",055-515-85-14,07:30 - 23:00
Araz Statistika,"Yasamal rayonu, İnşaatçılar prospekti 31",055-515-85-17,24\7
Araz Savalan,"Sabunçu rayonu, Maştağa qəsəbəsi, Zabrat - Maştağa şossesinin sağ tərəfində 27 saylı sahə",055-515-85-16,07:00 - 02:00
Araz Sumqayıt-1,"Sumqayıt şəhəri, 32-ci məhəllə",055-515-85-18,08:00 - 23:00
Araz Masazır-1,"Masazır qəsəbəsi, Əliağa Vahid küçəsi",055-515-85-19,07:00 - 00:00
Araz Nərimanov-1,"Nərimanov rayonu, 1936-cı məhəllə, Ağa Nemətulla",055-515-85-20,24\7
Araz-20 Yanvar-1,"Nəsimi rayonu, Tbilisi prospekti, Alatava 2",055-515-85-22,24\7
Spar C.Hacıbəyli,"Nərimanov rayonu, Bakıxanov k.  məhəllə 758-59",055-515-85-23,08:00 - 00:00
Araz Masazır-2,"Abşeron rayonu, Masazır qəsəbəsi, , Əliağa Vahid küçəsi",055-515-85-24,24\7
Araz Qaraçuxur-2,"Suraxanı rayonu, Qaraçuxur qəsəbəsi, Yusub Ayvazov küçəsi 2C",055-515-85-25,07:00 - 23:00
Araz Bakıxanov-2,"Sabunçu rayonu, Bakıxanov qəsəbəsi, Nizami İsmayılov küçəsi, 59 nömrəli  bina",055-515-85-27,07:00 - 23:00
Araz Masazır-8,Abşeron ray. Masazır kəndi. \,924,08:00-23:00
Araz Nərimanov-2,"Nərimanov rayonu, Ağa Nemətulla küçəsi,  ev 70a",055-515-85-29,07:00 - 23:00
Araz Masazır-9,Abşeron ray. Masazır kəndi.22 B \,924,08:00-23:00
Araz Şüvəlan,"Xəzər rayonu,  Şüvələn qəsəbəsi,  A.İldırım küçəsi 11 ",055-515-85-30,07:00 - 02:00
Araz Şamaxı-1,Şamaxı Şəhəri S.Ə.Şirvani 84 A,924,08:00-23:00
Araz Qarayev-2,Qara Qarayev prokspekti 1/10,055-515-85-32,24\7
Araz Binə-7,"Xəzər rayonu, Binə ŞTQ, Hövsan Südçülük Sovxoz, ev 56.",924,08:00-23:00
Araz Mehdiabad-1,"Abşeron rayonu, Mehdiabad qəsəbəsi, Fatmai şossesi",055-515-85-33,07:00 - 23:00
Araz Hövsan-5,"Bakı şəh, Suraxanı ray, Hövsan qəs, İ.Əhlimanov küç . 114",924,08:00-23:00
Araz Binəqədi-1,"Binəqədi rayonu, Binəqədi ŞTQ 2-ci mədən",055-515-85-36,07:00 - 23:00
Araz Yasamal 3,"Yasamal rayonu, H.Zərdabi prospekti, 593-cü məhəllə ",055-515-85-37,08:00 - 23:00
Araz Zığ-1,"Bakı Şəhəri, Xətai Rayonu, Naximov küçəsi",924,08:00-23:00
Araz Hövsan Ekspress,"Suraxanı rayonu, Hövsan qəsəbəsi, İ.Əhlimanov küçəsi 225",055-515-85-40,07:30 - 02:00
Araz Binə-6,Bakı Şəhəri Xəzər Rayonu Binə ŞTQ ev.29-cu Binə küçəsi m 79,924,08:00-23:00
Araz Məhəmmədi,"Abşeron rayonu, Məhəmmədi kəndi, GöyQurşağı-Məmmədli yaşayış kompleksi, bina1",055-515-85-41,24\7
Araz Zabitlər Parkı,Bakı Şəhəri Nəsimi Rayonu Mərdanov Qardaşları ev 156 A,924,08:00-23:00
Araz Şuşa-1 (Suraxanı),"Suraxanı rayonu, Bülbülə qəsəbəsi, Samir Əliyev küçəsi",055-515-85-43,07:00 - 23:00
Araz Qəbələ-1,Qəbələ Rayonu Zarağan,924,08:00-23:00
Araz Atatürk,"Nərimanov rayonu, A,Salamzadə, ev35V, 1104-cü məhəllə",055-515-85-44,07:00 - 23:00
Araz Naxçıvan-1,"Naxçıvan şəhəri, Heydər Əliyev prospekti 19.",924,08:00-23:00
Araz Qala,"Xəzər rayonu, Qala qəsəbəsi, 3 saylı Zeytun sovxoz küçəsi, ev 120A",055-515-85-47,07:30 - 23:00
Araz 20 Yanvar-3,"Bakı şəhəri, Nəsimi rayonu, Cavad xan küçəsi, 7saylı bina",924,08:00-23:00
Araz Binə-2,"Xəzər rayonu,  Donuz kökəltmə sovxozu",055-515-85-48,07:00 - 23:00
Araz Binə-5,"Bakı şəhəri, Xəzər rayonu, Binə qəsəbəsi, ev 1390 G.",924,08:00 - 23:00
Araz Masazır-10,"Abşeron rayonu, Masazır qəsəbəsi Ş. Qurbanov küçəsi 37 A",924,08:00-23:00
Spar 3-cü mkr,"Nəsimi rayonu, Cavadxan küçəsi 3 MKN 3005-ci məhəllə",055-515-85-39,07:00  - 00:00
Araz Binə-9,"Xəzər rayonu, Binə qəsəbəsi, 176-cı Binə küçəsi",924,08:00-23:00
Araz NZS,"Xətai rayonu, Rəşid Bağırov küçəsi 25",055-515-85-49,07:30 - 23:00
Araz G. Mehmandarov,"Xətai rayonu, G. Mehmandarov 1.",924,08:00-23:00
Araz Əhmədli-2,"Xətai rayonu,  Məhəmməd Hadi küçəsi 41",055-515-85-50,24\7
Araz Saray-1,"Abşeron rayonu, Saray qəsəbəsi",055-515-85-52,24\7
Araz Xətai-1,"Xətai rayonu, Babək prospekti, 10 D",055-515-85-53,08:00 - 23:00
Araz Xırdalan-9,"Abşeron rayonu, Xırdalan şəhəri, Səttar Bəhlulzadə küçəsi 178",924,08:00-23:00
Araz Əhmədli-3,"Xətai rayonu, Məhəmməd Hadi küçəsi 51M",055-515-85-54,24\7
Araz Xırdalan-10,"Abşeron rayonu, Xırdalan şəhəri, H.Əliyev prospekti 11, ev 1",924,08:00-23:00
Araz Çobanzadə,"Nizami rayonu, Bəkir Çobanzadə küçəsi 216",055-515-85-55,07:00 - 23:00
Araz Xırdalan-11,"Abşeron rayonu, Xırdalan şəhəri, Mehdi Hüseynzadə küçəsi, ev 313",924,08:00-23:00
Araz 9-cu mkr-1,"Binəqədi rayonu, 9 mkr, H.Seyidzadə küçəsi 38",055-515-85-56,07:00 - 23:00
Araz Xırdalan-12,"Abşeron rayonu, Xırdalan şəhəri, Həzi Aslanov küçəsi",924,08:00-23:00
Spar Axundov-1,"Səbail rayonu, B.Sərdarov küçəsi 15",055-515-85-57,24\7
