name,type,phone,address,hours,latitude,longitude,category_id,google_maps_url
Bravo Əhmədli,Hiper,+994 12 404 27 16,Ramiz Quliyev küçəsi 4,24/7,40.375206,49.944489,2237,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.375206,49.944489&travelmode=driver"
Bravo Koroğlu m/s,Hiper,+994 12 404 09 89,Heydər Əliyev prospekti 172,24/7,40.418194,49.913635,2237,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.418194,49.913635&travelmode=driver"
Bravo 20 Yanvar m/s,Hiper,+994 12 525 20 08,Tbilisi Prospekti 3007,24/7,40.401619,49.811024,2237,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.401619,49.811024&travelmode=driver"
Bravo Gənclik Mall,Super,+994 12 525 20 08,Fətəli Xan Xoyski prospekti 14,9:00 - 23:00,40.400177,49.852364,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.400177,49.852364&travelmode=driver"
Bravo Xətai m/s,Hiper,+994 12 525 20 08,Babak prospekti,24/7,40.387726,49.874157,2237,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.387726,49.874157&travelmode=driver"
Bravo 28 Mall,Super,+994 12 525 20 08,Azadlıq prospekti 15А,09:00 - 23:00,40.379128,49.846539,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.379128,49.846539&travelmode=driver"
Bravo Əsəd Əhmədov küç.,Super,+994 12 525 20 08,Əsəd Əhmədov küçəsi (Yeni Yasamal yaşayış massivi),24/7,40.393997,49.795109,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.393997,49.795109&travelmode=driver"
Bravo Şəmkir,Super,+994 12 525 20 08,Bakı-Qazax şossesi 406-cı km,07:00 - 02:00,40.853363,46.031227,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.853363,46.031227&travelmode=driver"
Bravo 8 Noyabr pr.,Super,+994 12 525 20 08,8 noyabr pr. 102B,07:00 - 02:00,40.373058,49.926048,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.373058,49.926048&travelmode=driver"
Bravo Mərdəkan şossesi,Super,+994 12 525 20 08,Mərdəkan Şosesi,24/7,40.462429,50.082314,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.462429,50.082314&travelmode=driver"
Bravo Yeni Günəşli,Super,+994 12 525 20 08,İlqar Musayev küçəsi,07:00 - 02:00,40.386593,49.975250,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.386593,49.975250&travelmode=driver"
Bravo Ramiz Qəmbərov küç.,Super,+994 12 525 20 08,"Bakıxanov qəsəbəsi, Ramiz Qəmbərov küçəsi 2566",08:00 - 02:00,40.412334,49.954147,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.412334,49.954147&travelmode=driver"
Bravo Sumqayıt,Super,+994 12 525 20 08,Üzeyir Hacıbəyov küçəsi 2,08:00 - 02:00,40.573364,49.691227,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.573364,49.691227&travelmode=driver"
Bravo Şövkət Məmmədova küç.,Super,+994 12 525 20 08,Şövkət Məmmədova küçəsi 2,24/7,40.419731,49.846649,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.419731,49.846649&travelmode=driver"
