chain,name,address,phone,hours,latitude,longitude,category_id,google_maps_url,type
BRAVO,Bravo Əhmədli,Ramiz Quliyev küçəsi 4,+994 12 404 27 16,24/7,40.375206,49.944489,2237,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.375206,49.944489&travelmode=driver",Hiper
BRAVO,Bravo Koroğlu m/s,Heydər Əliyev prospekti 172,+994 12 404 09 89,24/7,40.418194,49.913635,2237,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.418194,49.913635&travelmode=driver",Hiper
BRAVO,Bravo 20 Yanvar m/s,Tbilisi Prospekti 3007,+994 12 525 20 08,24/7,40.401619,49.811024,2237,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.401619,49.811024&travelmode=driver",Hiper
BRAVO,Bravo Gənclik Mall,Fətəli Xan Xoyski prospekti 14,+994 12 525 20 08,9:00 - 23:00,40.400177,49.852364,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.400177,49.852364&travelmode=driver",Super
BRAVO,Bravo Xətai m/s,Babak prospekti,+994 12 525 20 08,24/7,40.387726,49.874157,2237,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.387726,49.874157&travelmode=driver",Hiper
BRAVO,Bravo 28 Mall,Azadlıq prospekti 15А,+994 12 525 20 08,09:00 - 23:00,40.379128,49.846539,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.379128,49.846539&travelmode=driver",Super
BRAVO,Bravo Əsəd Əhmədov küç.,Əsəd Əhmədov küçəsi (Yeni Yasamal yaşayış massivi),+994 12 525 20 08,24/7,40.393997,49.795109,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.393997,49.795109&travelmode=driver",Super
BRAVO,Bravo Şəmkir,Bakı-Qazax şossesi 406-cı km,+994 12 525 20 08,07:00 - 02:00,40.853363,46.031227,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.853363,46.031227&travelmode=driver",Super
BRAVO,Bravo 8 Noyabr pr.,8 noyabr pr. 102B,+994 12 525 20 08,07:00 - 02:00,40.373058,49.926048,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.373058,49.926048&travelmode=driver",Super
BRAVO,Bravo Mərdəkan şossesi,Mərdəkan Şosesi,+994 12 525 20 08,24/7,40.462429,50.082314,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.462429,50.082314&travelmode=driver",Super
BRAVO,Bravo Yeni Günəşli,İlqar Musayev küçəsi,+994 12 525 20 08,07:00 - 02:00,40.386593,49.975250,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.386593,49.975250&travelmode=driver",Super
