name,address,phone,hours,latitude,longitude
Rahat Market (DYP Ekologiya postu),,,,40.434083,49.783908
Rahat Market (Biləcəri qəsəbəsi),,,,40.432232,49.80815
Rahat Market (Binəqədi Mir Cəlal küçəsi),,,,40.431408,49.817486
Rahat Market (Nəsimi metrosu),,,,40.425332,49.828162
Rahat Market (Vorovski),,,,40.423315,49.834227
Rahat Market (Süleyman Sani Axundov küçəsi),,,,40.425889,49.843847
Rahat Market (Süleyman Sani Axundov küçəsi),,,,40.427658,49.845263
Rahat Market (,,,,40.40715,49.812989
Rahat Market (Ceyhun Səlimov 7),,,,40.401111,49.821962
Rahat Market (Həsən Əliyev 12B),,,,40.398100,49.829248
Rahat Market (Təbriz küç. 116),,,,40.403575,49.872889
Rahat Market (Faiq Yusifov küç. 51A),,,,40.409262,49.870058
Rahat Market (Q. Qarayev küç. 74),,,,40.405806,49.947706
"Rahat Market (Zabrat şossesi, Babək küçəsi)",,,,40.465955,49.945009
"Rahat Market (Binəqədi kəndi, 3-cü mədən küçəsi)",,,,40.434905,49.990893
"Rahat Market (Binə qəsəbəsi Əli İsazadə küçəsi 5, Sovxoz şossesi 3-cü km)",,,,40.423747,50.103463
"Rahat Market (Buzovna Ş.T. Qəsəbəsi, Heydər Eyvazov 1A)",,,,40.517366,50.101804
"Rahat Market (Mehdiabad qəsəbəsi, Əzizbəyov küç. 1C)",,,,40.500640,49.855925
"Rahat Market (Fatmayi kəndi, Fatmayi məsçidinin yanı)",,,,40.526798,49.847891
Rahat Market (Bakı-Şamaxı şossesi 16-ci km),,,,40.466095,49.656563
"Rahat Market (Müşfiqabad qəsəbəsinə gedən yolun sağ tərəfində, Müşviq DYP postunun yanı)",,,,40.470436,49.625274
"Qara Qarayev 39, metro stansiyanın yaxınlığı.,  PRAGA Restoranının 1-ci mərtəbəsi",,,,40.414747,49.940413
Binəqədi r/nu Biləcəri qes. M. N. Ordubadi 50  (Məmmədoğulları servislə üzbəüz),,,,40.440855,49.838400
Binəqədi ray. 4-cu mk/r İsgəndərov 13  (Zərifə Əliyeva göz xəstəxanasının yanı),,,,40.420821,49.819956
"Sabuncu r/nu, Bakıxanov q/si, Sakit Qocayev 27C  Talkuçkanın yanı",,,,40.417620,49.964262
Nəsimi r/nu Akademik Həsən Əliyev 1061 (Tbilisi pr.İnqilab kəsişmə),,,,40.396217,49.819615
"Xətai r-u Ziğ yolu Nobel pr. 3A  (Nargilə kafesi ilə üzbəüz, Piyada keçidinin yanı)",,,,40.367792,49.940160
"Xətai r-u Xudu Məmmədov 82, Hezi Aslanov metrosunun yaxinligi",,,,40.370337,49.951005
Xətai r-u Nobel prospekti 189 ( kohne nömrə - 1 marketin yeri),,,,40.371332,49.930912
Xırdalan şəhəri  (,,,,40.475213,49.734780
"N. Nərimanov r., Təbriz küçəsi 60, Köhnə Çapayev, Su Sonası şad. s-nın 1-ci mərtəbəsi",,,,40.392833,49.858112
"Yasamal r/nu Yeni yasamal Xiyabani 1  (Azpetrol YDM, 2-ci Alatava)",,,,40.401298,49.797327
"Xəzər r., Mərdəkan qəsəbəsi, S. Yesenin küç., ev 76/1",,,,40.487907,50.137326
"Xətai rayonu, N.Tusi küçəsi, 2942 (əvvəlki Home marketin yeri)",,,,40.3660812,49.9623451
"Xəzər r., Qala küç. 15, Qala qəs.döngəsi",,,,40.3925,49.8449
"Qaradağ ray., Müşfiqabad qəs., 2-ci küçə 2 C",,,,40.4644019,49.6253372
"Yeni Günəşli qəs., AB y/sahəsi 16 A",,,,40.3822174,49.9756365
"Nəsimi rayonu, Süleyman Rüstəm 61",,,,40.396176004514,49.838442206383
"Yasamal rayonu, 442-ci məhəllə, M. F. Axundov küçəsi 150A",,,,40.3802757,49.8250093
"Xətai rayonu, 2317-ci məhəllə, Babək pr. 90E",,,,40.3949509,49.9564371
"Nərimanov r-nu, Ceyhun Hacıbəyli küçəsi 117A",,,,40.4006844,49.8394251
"Xətai r., Günəşli qəs., İnqilab İsmayılov küç., 8",,,,40.3600183,49.9674082
"Nizami rayonu, 8 km yaşayış sahəsi, Nəsimi küç. 25 A",,,,40.414032,49.9398126
"Nizami r-u, Qara Qarayev küç. 62",,,,40.4108038,49.9414664
"Qaradağ ray., Lökbatan qəs., Xocəsən yolu 57",,,,40.3389278,49.7812724
"Nizami r-u, Qara Qarayev pr. 64/37 (Qara Qarayev metrosunun çıxışı)",,,,40.4165696,49.9337762
"Nərimanov r., Əşrəf Əliyev 19A-17C",,,,40.4061972,49.8712827
"Abşeron r., Xırdalan şəhəri, H. Əliyev pr., 28-ci məhəllə",,,,40.4570254,49.7326793
"Xırdalan şəhəri, Səttar Bəhlulzadə küçəsi",,,,40.4630276,49.691113
"Masallı şəhəri, Heydər Əliyev prospekti 171",,,,39.0267603,48.6627373
"Sabunçu ray., Zabrat-Maştağa yolu-3, Ramana qəs.",,,,40.5022582,49.9753481
"Binəqədi rayonu, Sulutəpə-Xocəsən qəsəbələrinin kəsişməsi, Ruslan Allahverdiyev küç.",,,,40.561924,49.9218569
"Bakı şəhəri, Abşeron rayonu, Bakı-Şamaxı şossesi, Nübar qəsəbəsi ilə üzbəüz",,,,40.4510704,49.6859427
