name,address,phone,hours,latitude,longitude
Tamstore Bakıxanov(Super),"Bakıxanov qəs., Nazim İsmayılov küçəsi",*8700,24 saat,40.428028071437765,49.960864976011635
Tamstore Şağan (Super),"Xəzər rayonu, Buzovna qesebesi A.Xelefov 5/6",*8700,24 saat,40.50972367142472,50.12221147601566
Tamstore Qazax 2 (Super),"Qazax ray., Musəvi küç., Mərkəzi bazarın yaxınlığı",*8700,24 saat,41.09286117553711,45.365360260009766
Tamstore - 3-cü MKR (Super),"Bakı şəh, Nəsimi rayonu, A.Məhərrəmov küçəsi 5",*8700,24 saat,40.40768807144108,49.80932997601057
Tamstore Naxçıvan (Super),"Naxçıvan şəh., Heydər Əliyev pr., Təbriz küçəsi",*8700,24 saat,39.209241571659135,45.408166375951865
Tamstore - Göytəpə (super),"Cəlilabad rayonu, Göytəpə şəh., ""Göytəpə"" poçt idarəsinin yaxınlığı",*8700,24 saat,39.115749371678234,48.59294507594732
Tamstore - Bərdə (super),"Bərdə şəh., Nizami və Koroğlu küçələrinin kəsişməsi",*8700,24 saat,40.043,47.12588888888889
Tamstore - Əhmədli 3 (Mini),"Kənd Əhmədli, Məhəmməd Hadi küçəsi 152",*8700,24 saat,40.38306047144505,49.95023857600929
Tamstore - 9-cu MKR(Super),"Mir Cəlal küç 164, 157 saylı tam orta məktəbin yaxınlığı",,24 saat,40.42309947143854,49.81457137601142
Tamstore - Ağdaş 2 Ləki (Super),"Ağdaş ray., Ləki qəs., Xasılılar küçəsi, Bakı-Ələt-Qazax yolu",*8700,24 saat,40.53658677142053,47.42854687601702
Tamstore - Sumqayıt 5 (Super),"Sumqayıt şəh, Nəriman Nərimanov küç 55",*8700,24 saat,40.58335887141321,49.679601376019235
Tamstore Binəqədi 2,"Binəqədi ray., Biləcəri qəs., F. Vəliyev küçəsi",*8700,24 saat,40.45282357143383,49.78022767601278
Tamstore Masallı(Super),"Masallı ray., Heydər Əliyev pr., Dövlət Sosial Müdafiə Fondunun yaxınlığı",*8700,24 saat,39.03655617169471,48.66924287594349
Tamstore - Binə 2 (Atçılıq) (Super),"Binə 2- Binə qəsəbəsi, Binə ŞTQ, ""Binə Atçılıq İstirahət Mərkəzi""in yaxınlığı",*8700,24,40.46664427143162,50.07836527601346
Tamstore - Salyan (Super),"Salyan şəh., Bakı-Astara yolu 130-cu km, Ə.Quliyev küçəsi",*8700,24,39.5808944715861,48.967430075969894
Tamstore - Sumqayıt 6 (City),"Sumqayıt şəhəri., Birləşmiş məhəllə, Nizami küçəsi 79",*8700,24,40.600044271410596,49.664894076020104
Tamstore Ağstafa (Super),"Ağstafa ray., Rafiq Əlicanov küç. 39",*8700,24 saat,41.11573407133564,45.44796015766704
Tamstore Hacıqabul(Fədək)  (Super),"Hacıqabul - Hacıqabul ray., Pirsaat qəs., Bakı-Ələt-Qazax-gürcüstan yolu, Fədək restoranının yaxınlığı",*8700,24 saat,40.04185561207142,49.063243825732954
Tamstore Qazax (Super),"Qazax ray., Əliağa Şıxlinski küçəsi",*8700,24 saat,41.0975532713382,45.347560876045016
Tamstore - Əhmədli 2 (City),"Xətai rayonu, Nəsrəddin Tusi küçəsi, 62 Nömrəli avtobusun son dayanacağı",*8700,24 saat,40.366817471447746,49.95981977600846
Tamstore Xutor (Super),"Xutor qəsəbəsi, Hüseyn Seyidzadə küçəsi, Yeganə şadlıq sarayının yaxınlığı",*8700,24 saat,40.41375490182988,49.821674030148884
Tamstore Zaqatala 2,"Zaqatala şəh., Faiq Əmirov küç., 197 A, Hərbi Komisarlığın yaxınlığı",*8700,24 saat,41.63125227126993,46.61302187607203
Tamstore Mehdiabad (Super),"Mehdiabad qəsəbəsi, 28 May küçəsi",*8700,24 saat,40.49958417142646,49.853443176015084
Tamstore Şəki 3 (mini),"Mikayıl Müşviq küç., Şəki bazarının yaxınlığı",*8700,24 saat,41.20182417132401,47.16415407605021
Tamstore Şəki 2 (super),"Məmmədəmin Rəsulzadə pr., 29 saylı uşaq bağçasının yaxınlığı",*8700,24 saat,41.20219797132399,47.17555997605033
Tamstore Mərdəkan (city),"Mərdəkan qəsəbəsi., Sergey Yesenin küçəsi.,92",*8700,24 saat,40.48876567142804,50.13740917601459
Tamstore Şamaxinka 3 (Super),"9-cu MKR., Mir Cəlal küç., 1",*8700,24 saat,40.41399377144002,49.80121227601086
Tamstore Bakıxanov 2 (Super),"Bakıxanov qəs., Sakit Qocayev küç., Kaspi liseyinin yanı",*8700,24 saat,40.40900797144082,49.96715167601057
"""Tamstore"" Şəki 1 (Super)","M.Rasulov küç., Heydər Əliyev parkının yaxınlığı",*8700,24 saat,41.16199867132929,47.161453276048434
"Tamstore ""Xankəndi 2""","Xankəndi 2 - Pənahəli Xan Küçəsi, 16, Xankəndi şəhər Prokurorluğu yaxınlığı",*8700,24 saat,39.81384657154289,46.74831007598135
